ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
,,,,,,,,,
2,1N4148,"D1,D2",DO-35_BD2.0-L4.0-P8.00-D0.5-FD,2,1N4148,SEMTECH,LCSC,C14516,0.007
3,330,"R3,R7",R_AXIAL-0.3,2,,,,,
4,10k,"R4,R5",R_AXIAL-0.3,2,,,,,
5,220,R6,R_AXIAL-0.3,1,,,,,
6,470,R14,R_AXIAL-0.3,1,,,,,
7,DirSw,S1,SPARKFUN-SWITCHES_TACTILE_SWITCH_PTH_12MM,1,,,,,
8,ModeSw,S2,SPARKFUN-SWITCHES_TACTILE_SWITCH_PTH_12MM,1,,,,,
9,BOURNS_PEC11R,SW1,BOURNS_PEC11R-4XXXF-SXXXX,1,PEC11R-4015F-S0024,BOURNS,LCSC,C143789,1.593
10,2N2222,T1,2N2222,1,,,,,
11,Direction Trig,U2,"NKXAUDIO _ THONK _ JACK _ THONKICONN _ 3,5MM",1,,,,,
12,Audio Out,U3,"NKXAUDIO _ THONK _ JACK _ THONKICONN _ 3,5MM",1,,,,,
13,CV - FM,U4,"NKXAUDIO _ THONK _ JACK _ THONKICONN _ 3,5MM",1,,,,,
14,TRS MIDI,U6,"NKXAUDIO _ THONK _ JACK _ THONKICONN _ 3,5MM",1,,,,,
15,6N138,U11,DIP-8_L9.8-W6.6-P2.54-LS7.6-BL,1,6N138,Isocom Components,LCSC,C255743,0.585
16,CV - Decay,U99,"NKXAUDIO _ THONK _ JACK _ THONKICONN _ 3,5MM",1,,,,,
17,PTL20-10G0-103B2,"VR1,VR2",PTL2010O0105B2,2,,,,,
18,10k,"VR3,VR4",POT_P0915N,2,,,,,

ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
,,,,,,,,,
2,10uF,"C1,C2",CAP10UF25V,2,electrolytic capacitor 10UF 50V high frequency,ValuePro,,C78759,0.013
3,HEADER 1X6,H1,HEADER-1X6-2.54MM,1,,,,,
4,TL071,IC1,TL071  2,1,,,,,
5,MICROSD SPI BOARD,MICROSD,MICROSD_SPI,1,,,,,
6,SSD1306-128x64-I2C,OLED1,SSD1306-128X64-I2C,1,,,,,
7,33k,"R1,R2,R15",R_AXIAL-0.3,3,,,,,
8,100k,"R8,R9,R13",R_AXIAL-0.3,3,,,,,
9,300k,"R10,R11",R_AXIAL-0.3,2,,,,,
10,180k,"R12,R16",R_AXIAL-0.3,2,,,,,
11,PCM5102A,U5,PCM5102A,1,,,,,
12,Teensy_4.1,U7,TEENSY4.1,1,Teensy_4.1,PJRC,www.pjrc.com,Teensy_4.1,
13,EURORACK 16PIN,U8,EURORACK SHROUDED POWER 16 PIN,1,New SchematicLib,,,,
14,MCP6002,U1,MCP6002,1,MCP6002-I/SN,MICROCHIP,,C116706,0.652
